name,facility_type,amenity,speciality,operator,operator_type,beds,emergency,address,operational_status,longitude,latitude,osm_id,source
Masahallah F m Medicose Wholesaler,pharmacy,pharmacy,,,,,,,,67.210322,24.853991,5133048476,
Hospital,hospital,hospital,,private,,,,,,,,687218210,
Awami Clinic And Maternity Home,clinic,clinic,,,,,,,,68.315177,25.364498,4823245556,
Dr. Narain Das Lohana,clinic,clinic,,,,,,,,69.10771,25.156151,5481213593,
Masroor Hospital,hospital,hospital,,,,,,,,67.023035,24.912203,5128625128,
Naseer Teaching Hospital,hospital,hospital,,,,,yes,,,71.46202,34.007682,3264771063,
Sardar Hospital,hospital,hospital,,,,,,,,,,439342117,
Aga Khan Health Center,hospital,hospital,,,,,,,,74.612546,36.306398,880532051,
Burhani Hospital,hospital,hospital,,,,,,,,67.009987,24.852917,5128368405,
dr. waseem,doctors,doctors,,,,,,,,74.291668,31.528293,4922303321,
National Medical Store,pharmacy,pharmacy,,,,,,,,67.070605,24.97232,5132720025,
Aziz Medicare,clinic,clinic,,,,,,,,67.030975,24.884283,5128445374,
Akhtar Homeo Clinic- Tauheed Commercial,pharmacy,pharmacy,,,,,,,,67.037645,24.809809,4801763901,
Mujahid pharmacy,pharmacy,pharmacy,,,,,,,,73.099208,31.444615,4690600789,
city lab,pharmacy,pharmacy,,,,,,,,73.069768,33.629073,5301302321,
Ashfaq Memorial Hospital,hospital,hospital,,,,,,,,67.084084,24.908816,5128335472,
Hamza Medical Complex,hospital,hospital,,,,,,,,74.361865,31.552595,5260103786,
Ultra Chemical Karachi,pharmacy,pharmacy,,,,,,,,67.111086,24.843644,4769518735,
New Mahmood Pharmacy,pharmacy,pharmacy,,,,,,,,74.306376,31.588135,4912291865,
CDGK Clinic,clinic,clinic,,,,,,,,67.057422,24.908876,5149752222,
AKAR Hospital Jamiyat Hospital,hospital,hospital,,,,,yes,,,67.041739,24.898406,5331331069,
Eye Land Eye clinic,clinic,clinic,,,,,,,,67.064556,24.879564,5084590423,
