period,year,month,national_cpi_yoy_pct,national_cpi_mom_pct,urban_cpi_yoy_pct,urban_cpi_mom_pct,rural_cpi_yoy_pct,rural_cpi_mom_pct,spi_yoy_pct,spi_mom_pct,wpi_yoy_pct,wpi_mom_pct,national_cpi_index_2015_16,urban_cpi_index_2015_16,rural_cpi_index_2015_16,wpi_index_2015_16,annual_bx_klt_dinv_cd_wd,annual_bx_trf_pwkr_cd_dt,annual_fi_res_totl_cd,annual_fp_cpi_totl_zg,annual_ne_exp_gnfs_cd,annual_ne_imp_gnfs_cd,annual_ny_gdp_mktp_cd,annual_ny_gdp_mktp_kd_zg,annual_ny_gdp_pcap_cd,annual_sl_uem_totl_zs,national_cpi_yoy_pct_lag_1m,national_cpi_yoy_pct_lag_3m,national_cpi_yoy_pct_rolling_3m_avg,national_cpi_yoy_pct_rolling_6m_avg,urban_cpi_yoy_pct_lag_1m,urban_cpi_yoy_pct_lag_3m,urban_cpi_yoy_pct_rolling_3m_avg,urban_cpi_yoy_pct_rolling_6m_avg,rural_cpi_yoy_pct_lag_1m,rural_cpi_yoy_pct_lag_3m,rural_cpi_yoy_pct_rolling_3m_avg,rural_cpi_yoy_pct_rolling_6m_avg,spi_yoy_pct_lag_1m,spi_yoy_pct_lag_3m,spi_yoy_pct_rolling_3m_avg,spi_yoy_pct_rolling_6m_avg,wpi_yoy_pct_lag_1m,wpi_yoy_pct_lag_3m,wpi_yoy_pct_rolling_3m_avg,wpi_yoy_pct_rolling_6m_avg,target_next_month_national_cpi_yoy_pct,target_next_month_wpi_yoy_pct,target_next_month_national_cpi_direction,split
2018-09,2018,9,5.4,,5.6,,5.1,,,,14.6,,113.9,114.5,113.0,121.2,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,6.2,5.7,6.1,5.5,6.2,5.8,6.166667,5.666667,6.2,5.4,5.966667,5.183333,,,,,16.7,11.4,15.866667,12.316667,6.5,18.6,up,train
2018-10,2018,10,6.5,,7.0,,5.7,,,,18.6,,116.3,117.0,115.2,126.6,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,5.4,6.7,6.033333,5.916667,5.6,6.7,6.266667,6.1,5.1,6.6,5.666667,5.583333,,,,,14.6,16.3,16.633333,14.366667,5.7,18.6,down,train
2018-11,2018,11,5.7,,6.3,,4.7,,,,18.6,,116.2,116.9,115.0,127.9,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,6.5,6.2,5.866667,6.033333,7.0,6.2,6.3,6.266667,5.7,6.2,5.166667,5.616667,,,,,18.6,16.7,17.266667,16.033333,5.4,16.5,down,train
2018-12,2018,12,5.4,,5.9,,4.6,,,,16.5,,115.8,116.6,114.7,126.2,1737000000.0,21193000000.0,11837177725.8521,5.078057,30562205605.5736,67821965004.981,356128166704.921,6.151703,1569.338146,4.083,5.7,5.4,5.866667,5.983333,6.3,5.6,6.4,6.283333,4.7,5.1,5.0,5.483333,,,,,18.6,14.6,17.9,16.883333,5.6,12.6,up,train
2019-01,2019,1,5.6,,6.2,,4.6,,,,12.6,,116.1,117.1,114.7,125.1,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,5.4,6.5,5.566667,5.8,5.9,7.0,6.133333,6.2,4.6,5.7,4.633333,5.15,,,,,16.5,18.6,15.9,16.266667,6.8,13.9,up,train
2019-02,2019,2,6.8,,7.2,,6.0,,,,13.9,,117.1,118.1,115.7,127.2,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,5.6,5.7,5.933333,5.9,6.2,6.3,6.433333,6.366667,4.6,4.7,5.066667,5.116667,,,,,12.6,18.6,14.333333,15.8,8.6,16.6,up,train
2019-03,2019,3,8.6,,8.9,,8.2,,,,16.6,,119.5,120.3,118.2,130.0,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,6.8,5.4,7.0,6.433333,7.2,5.9,7.433333,6.916667,6.0,4.6,6.266667,5.633333,,,,,13.9,16.5,14.366667,16.133333,8.3,17.1,down,train
2019-04,2019,4,8.3,,8.4,,8.1,,,,17.1,,120.3,121.3,118.9,132.3,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,8.6,5.6,7.9,6.733333,8.9,6.2,8.166667,7.15,8.2,4.6,7.433333,6.033333,,,,,16.6,12.6,15.866667,15.883333,8.4,16.5,up,train
2019-05,2019,5,8.4,,8.5,,8.3,,,,16.5,,121.0,122.1,119.5,134.2,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,8.3,6.8,8.433333,7.183333,8.4,7.2,8.6,7.516667,8.1,6.0,8.2,6.633333,,,,,17.1,13.9,16.733333,15.533333,8.0,14.0,down,train
2019-06,2019,6,8.0,,8.1,,7.9,,,,14.0,,121.6,122.5,120.3,134.6,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,8.4,8.6,8.233333,7.616667,8.5,8.9,8.333333,7.883333,8.3,8.2,8.1,7.183333,,,,,16.5,16.6,15.866667,15.116667,8.4,13.3,up,train
2019-07,2019,7,8.4,,8.7,,7.9,,,,13.3,,123.9,125.0,122.2,138.7,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,8.0,8.3,8.266667,8.083333,8.1,8.4,8.433333,8.3,7.9,8.1,8.033333,7.733333,,,,,14.0,17.1,14.6,15.233333,10.5,14.1,up,train
2019-08,2019,8,10.5,,10.6,,10.3,,,,14.1,,125.9,126.8,124.6,140.4,2234000000.0,22252000000.0,16586046186.2171,10.578031,30136170670.3429,62624564039.0062,320909472770.669,2.497637,1390.41691,4.83,8.4,8.4,8.966667,8.7,8.7,8.5,9.133333,8.866667,7.9,8.3,8.7,8.45,,,,,13.3,16.5,13.8,15.266667,11.4,15.9,up,train
