auction_number,settlement_date,tenor,coupon_rate_pct,amount_accepted_million_pkr,weighted_average_yield_pct
0,2025-11-06,15- Year,,340010.6,12.25
0,2025-12-18,2- Year,,116870,10.7543
0,2025-12-18,3- Year,10.5,84340.1,10.8364
0,2025-12-18,5- Year,11,103360,11.1379
0,2025-12-18,10- Year,11.5,104197.1,11.6648
0,2025-12-18,15- Year,,36200,11.9949
0,2026-01-15,2- Year,,113736.7,10.1837
0,2026-01-15,3- Year,10.25,156595.7,10.1214
0,2026-01-15,5- Year,10.5,133065,10.4619
0,2026-01-15,10- Year,11,142925,10.9877
0,2026-02-09,2- Year,,48258,10.3204
0,2026-02-09,3- Year,10.25,170296.2,10.2098
0,2026-02-09,5- Year,10.5,217770,10.7059
0,2026-02-09,10- Year,11,61650,11.1751
0,2026-02-09,15- Year,,53000,11.4349
0,2026-03-27,2- Year,,42080,12.4137
0,2026-03-27,3- Year,10.25,65512,12.3376
0,2026-03-27,5- Year,10.5,33640,12.4381
0,2026-03-27,15- Year,,325000,12.4
0,2026-05-19,2- Year,,26330,13.1462
0,2026-05-19,3- Year,12,11623.1,13.2466
0,2026-05-19,5- Year,12.25,37395.1,12.914
0,2026-05-19,10- Year,12.5,55440,12.832
0,2026-05-19,15- Year,,521000,12.9
0,2026-06-18,2- Year,,4457.2,12.14
0,2026-06-18,3- Year,12,170397.1,12.0593
0,2026-06-18,5- Year,12.25,349690.1,12.0923
0,2026-06-18,10- Year,12.5,123996.6,12.5713
